pathway,F5_vs_OT1_immature_padj,F5_vs_OT1_immature_NES,F5_vs_TG6_immature_padj,F5_vs_TG6_immature_NES,OT1_vs_TG6_immature_padj,OT1_vs_TG6_immature_NES,F5_vs_OT1_semimature_padj,F5_vs_OT1_semimature_NES,F5_vs_TG6_semimature_padj,F5_vs_TG6_semimature_NES,F5_vs_CD8_polyclonal_semimature_padj,F5_vs_CD8_polyclonal_semimature_NES,OT1_vs_TG6_semimature_padj,OT1_vs_TG6_semimature_NES,OT1_vs_CD8_polyclonal_semimature_padj,OT1_vs_CD8_polyclonal_semimature_NES,TG6_vs_CD8_polyclonal_semimature_padj,TG6_vs_CD8_polyclonal_semimature_NES,F5_vs_OT1_mature_padj,F5_vs_OT1_mature_NES,F5_vs_TG6_mature_padj,F5_vs_TG6_mature_NES,F5_vs_CD8_polyclonal_mature_padj,F5_vs_CD8_polyclonal_mature_NES,OT1_vs_TG6_mature_padj,OT1_vs_TG6_mature_NES,OT1_vs_CD8_polyclonal_mature_padj,OT1_vs_CD8_polyclonal_mature_NES,TG6_vs_CD8_polyclonal_mature_padj,TG6_vs_CD8_polyclonal_mature_NES
GSE13493_DP_VS_CD8POS_THYMOCYTE_UP,0.021497405485544845,1.8462440459132756,0.01780090173697633,-2.3427451210257417,0.015164673035082314,-2.476614683288272,0.017727967396841567,2.5180173151594234,0.014128496237330897,1.929836926779327,0.016704209995782805,1.6559568296890246,0.018843842101598944,-1.9660292064167648,0.015719475759355218,-1.621813434741022,0.1667947899970433,1.2127390030614282,0.014083041381941797,2.2510856102469328,0.02430640437834575,1.9071595509510326,0.01859400045798031,2.3876886454528754,0.010058717141936922,-1.5893778538989354,0.027503876435786653,1.8258828878151299,0.017758208432962035,2.1379036404177043
GSE25088_WT_VS_STAT6_KO_MACROPHAGE_IL4_STIM_UP,0.021497405485544845,1.8313464794715741,0.01780090173697633,-1.8498976424746976,0.015164673035082314,-2.1446540566245402,0.017727967396841567,1.9215962183236648,0.014128496237330897,1.6610532246235303,0.016704209995782805,1.6141658922669029,0.03128210396548181,-1.4937988051487197,0.2253848474026154,-1.1788812692961181,0.22249284539974423,1.1627279952729812,0.014083041381941797,1.9759416597381505,0.02430640437834575,1.5863618985098664,0.01859400045798031,1.6964517762437377,0.010058717141936922,-1.5329525458079336,0.4953614088234714,1.0393290938864725,0.017758208432962035,1.4252881527177754
GSE24142_ADULT_VS_FETAL_DN2_THYMOCYTE_UP,0.021717230250782302,1.8217677349248935,0.17281958054360838,-1.1882152531871049,0.015601882985877608,-1.6897453495509325,0.017788293024886083,1.5340164815048642,0.021148128052088985,1.477578365178163,0.02826199191354337,1.4241174105677779,0.22010905125408944,-1.1352213988246613,0.1470516955314032,1.2420703803159516,0.1761332099907493,1.2005111192045788,0.014100078140827137,1.5436157014886658,0.052906873622216834,1.399072857511449,0.08576256865230249,1.242988247429396,0.010058717141936922,-1.4786829707201694,0.13505774253437805,-1.292502857404996,0.22002107481559535,1.1378776795384133
GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_UP,0.021497405485544845,1.8189142611333522,0.2994652406417112,-1.1133926090112871,0.015164673035082314,-1.7874493939321858,0.017727967396841567,1.7717592982865005,0.992174550127909,0.728653959733176,0.6687103396789846,-0.9376592281258502,0.018843842101598944,-1.8598423983389825,0.015719475759355218,-1.8288085547976283,0.5528322440087146,-0.9923111825441925,0.03341563786008231,1.4326891393894137,0.4663661181175023,-1.0829108091547015,0.38013654329859864,-1.0981470099620942,0.010058717141936922,-1.8541150385890195,0.0160852598007171,-1.7481406629756775,0.5907778042944033,-0.9941805623010685
GSE30083_SP3_VS_SP4_THYMOCYTE_UP,0.021497405485544845,1.7978402580844208,0.01780090173697633,-1.7897829237478995,0.015164673035082314,-1.9218893421180006,0.017727967396841567,2.3499592067016053,0.014128496237330897,1.83820246574126,0.16289385279179736,1.1969533557816037,0.018843842101598944,-2.037560133332799,0.015719475759355218,-1.9543803468971712,0.7344031463912574,-0.9162433571484819,0.014083041381941797,2.287270851581991,0.02430640437834575,2.337625566557223,0.01859400045798031,2.4196614211396676,0.010058717141936922,-1.4766181829445246,0.027503876435786653,1.6143532551111517,0.017758208432962035,1.9743425658558202
GSE21033_CTRL_VS_POLYIC_STIM_DC_6H_DN,0.021497405485544845,1.7871739666511908,0.01780090173697633,-2.693762955675228,0.015164673035082314,-2.6477951021142205,0.017411317356281583,1.9188149207825116,0.936463752683754,0.7924721759817248,0.012275348771583275,1.879167885125576,0.018843842101598944,-2.0200313882470224,0.1396342173727333,1.28586792511037,0.010598677340758788,1.9776720050191567,0.01323452712100139,1.8605585031897043,0.326476691005952,1.110210679595479,0.018494897959183673,2.3572873874510574,0.010058717141936922,-1.7471249397823292,0.027503876435786653,1.9308592052341198,0.017758208432962035,2.4537590135876144
GSE20366_EX_VIVO_VS_HOMEOSTATIC_CONVERSION_NAIVE_CD4_TCELL_UP,0.021497405485544845,1.781884542308475,0.01780090173697633,-1.632341914572417,0.015164673035082314,-1.922264394848887,0.017788293024886083,1.5640720971700393,0.3332300254137482,1.1227996633878314,0.012275348771583275,1.8526498708203616,0.018843842101598944,-1.5293862673698189,0.04977015016855654,1.4181942026089696,0.010598677340758788,1.8771096580716928,0.03412003641711604,1.4664766092299488,0.6595151815255802,-0.9587054952241594,0.01859400045798031,1.7124666547712966,0.010058717141936922,-1.603182605421904,0.0668067615792559,1.3749839763758986,0.017758208432962035,1.8231384721415282
GSE17301_CTRL_VS_48H_IFNA2_STIM_CD8_TCELL_DN,0.021497405485544845,1.777795593932678,0.0399259174274335,-1.4791460653589772,0.015164673035082314,-1.7955767310224398,0.017727967396841567,2.0301880252537905,0.014128496237330897,1.8968265255009369,0.4254051720374296,1.0380405149049219,0.03128210396548181,-1.409332279975678,0.015719475759355218,-1.7813387216469967,0.09532194635205728,-1.2806569535788295,0.014100078140827137,1.828806168953136,0.02430640437834575,1.809248705240855,0.01859400045798031,1.6496303309396618,0.3818810009405936,-1.0728560594152425,0.5159965782720274,-1.039523666348186,0.3407105393369619,1.0726895986998852
GSE24142_DN2_VS_DN3_THYMOCYTE_DN,0.02202631222026312,1.7762717010710314,0.01791940680584367,-2.337806478947415,0.01586216327088746,-2.3230925440121175,0.017727967396841567,1.7076406132615791,0.13195602407936013,-1.296674551402658,0.016704209995782805,1.7147599525172712,0.01905350389712985,-1.8535053854591823,0.12653888109708586,-1.268667398172876,0.010598677340758788,1.7205412381563667,0.014102771924136812,2.287628060435451,0.039437166962699825,1.408360074739911,0.018636961777396946,2.071255411074198,0.010058717141936922,-2.4358463032856537,0.14770797962648557,1.2218833401149787,0.018068519073098324,2.156107088693339
GSE2405_0H_VS_12H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN,0.021497405485544845,1.7747929432193539,0.009285128928360427,1.5185135505970506,0.015164673035082314,-1.3989760411593073,0.10324877614597239,1.2230717532960131,0.15388000043564917,1.267216077262434,0.02243941082729207,-1.4729504500596666,0.580983718951109,0.9969481377443926,0.015719475759355218,-1.6358096419778039,0.009137370005345136,-1.7239746590856126,0.3772829319873528,-1.0771639876860588,0.9652390841054396,0.8227647737023359,0.20179284636549213,1.1366880504007884,0.1736785423470594,1.2199751660706208,0.027503876435786653,1.5799917279495648,0.06202940030607282,1.3093098492771447
