Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Mir16-1,0.8800970811595833,2.925160274643686,1.8733099366599593,1.561492958212316,0.11840748404094675,NA
1600029I14Rik,1.8064858329880595,2.910830849817268,1.7389470511190483,1.6739042444932917,0.09414941989451846,NA
Zkscan4,0.9707907061526221,2.908732906541479,2.3080921437814332,1.2602325753667674,0.20758547475647643,NA
Cfap44,1.1837586355711192,2.906862700864703,2.3913107603533885,1.2155938697131636,0.2241396705644966,NA
Psca,0.9241107671258457,2.9009283412603137,2.745226489375209,1.056717306381719,0.29064062418078546,NA
Gm15319,0.7166094549515583,2.8943801087881673,3.4597813372910204,0.8365789125431963,0.40282930292600827,NA
Fam150b,1.058439660589728,2.894309807098869,2.2374603846851535,1.2935691853628706,0.19581427202850007,NA
Atoh7,0.8600634182168794,2.893924480500463,3.534894811186939,0.8186734358663271,0.41297275643002795,NA
Rbbp8nl,0.5177605108384454,2.8929436151650827,3.717000516611329,0.7783005684923842,0.43639184044224305,NA
Pcdhga2,2.5397125357982153,2.8910341003009092,1.6323935225700423,1.7710399240921157,0.07655406291323316,NA
Hhip,0.3310288980647897,2.890781826776264,4.251775889198474,0.6798998588143415,0.4965678710442976,NA
Zfp385b,0.333370353762012,2.8884689515313453,4.25184873917199,0.6793442402877787,0.49691977121548214,NA
2810442N19Rik,0.3972529609724409,2.888468951527157,4.251848739170126,0.6793442402870915,0.4969197712159175,NA
Car6,0.7242820519841562,2.8861369473941343,3.614629602611481,0.7984599432564187,0.4246036295648306,NA
Ppp1r9a,1.3242457368756946,2.8761368305426958,2.19780150177376,1.3086426723348208,0.1906554190769554,NA
Gif,0.5755943929243706,2.85912247954945,3.671223743920918,0.7787927620275923,0.4361018020817557,NA
Wdr38,0.8579172256688298,2.853773897282076,2.462907472417565,1.1587012217234618,0.24657799267924418,NA
Mir6916,0.32132191598270854,2.849858240962647,4.2530820870651125,0.6700689482645805,0.5028138384607348,NA
Rnase13,0.5127360738788951,2.8498582409496587,4.253082087059857,0.6700689482623546,0.5028138384621539,NA
Ptprb,1.3608474656749179,2.8375747704863503,2.142131840366948,1.324649919773506,0.18528729062265983,NA
Gm525,0.9698183366120675,2.8358602361743372,2.874819247669725,0.9864481874723194,0.32391322860702315,NA
Mir6997,0.3169558500904093,2.8187258717420307,4.121707026113512,0.6838734179512745,0.4940551008624058,NA
Rtl1,0.31696983115123994,2.8185867870875523,4.254105181067135,0.6625569108238445,0.5076143745932883,NA
Me1,0.31696983115123994,2.8185867870875523,4.254105181067135,0.6625569108238445,0.5076143745932883,NA
Gm4907,1.198117168863115,2.809717446955222,2.197558944435319,1.2785629500724052,0.20105100391902886,NA
Slc22a20,0.4300071936333032,2.7980589821880226,4.254788346419723,0.6576258921416164,0.5107785527080082,NA
Cpa6,0.31210235904936867,2.7974269182622633,4.25480999172901,0.6574739938329148,0.5108761875051824,NA
Gm136,0.56256597006615106,2.788495307422741,3.1058048525624042,0.8978333925655789,0.3692743792311177,NA
Gm12060,1.4406267358562348,2.7834942202547324,2.459394104023547,1.1317804721500146,0.2577267395713972,NA
Asb17,0.5633537747044025,2.77557319624119,3.121739564784629,0.8891110672881127,0.37394339156554507,NA
Dmxl2,1.2559832667524018,2.769470324222614,2.737253631918489,1.0117697139674795,0.3116481739356394,NA
Panx3,3.043621258086012,2.7663113654366143,1.4846632875080021,1.8632584160411552,0.06242591768062635,NA
Grb10,7.9213953439034075,2.7635986080261787,1.3375058506868005,2.0662329115099487,0.03880649264670027,0.18101075777024672
P2ry4,1.3581575697079318,2.754318462373937,1.8307373647587846,1.5044858511077814,0.13245631375814867,NA
Mir3076,0.9474348180414206,2.753789540621076,1.843559333830458,1.4937352381815594,0.13524483437634102,NA
Gulp1,0.30056930854046793,2.7454802481043257,4.256584197883218,0.6449961096669112,0.5189297068016651,NA
Slc5a4b,3.9298063285062454,2.7425030983213134,1.2700927737076353,2.1592935217759255,0.030827402415629958,NA
Iqcf1,3.0043375123908893,2.7144260471212505,1.5430142033521828,1.759171134798492,0.07854844546772588,NA
Gm6936,0.9923647355782537,2.711026116253363,3.045500710257107,0.8901741861765952,0.37337236321998596,NA
Tas2r137,0.7355227830282157,2.707402271713552,2.602318092305293,1.0403809894412905,0.29816293031685165,NA
Flnc,0.29203571852412663,2.7071403396365588,4.257934728715496,0.6357871860692497,0.524915140507368,NA
Tmem145,1.852263634723624,2.7031681009516393,1.9875548061323003,1.3600470752360752,0.17381502743231445,NA
